epoch,tau,loss,rec,kl,sparse,temporal,prior,val_loss
1.0,1.0,1.2218902905782063,1.2065272529919941,3.517216165860494,5.918911139170329,0.1668543517589569,0.12824333334962526,1.0092576742172241
2.0,0.98,1.0414153337478638,1.0279793739318848,3.2854357957839966,5.791507085164388,0.1690132493774096,0.10571627194682758,1.0032926797866821
3.0,0.9603999999999999,1.0227932333946228,1.0104281107584636,3.2718436320622764,5.696043173472087,0.1702456995844841,0.09330107520023982,1.0019992589950562
4.0,0.9411919999999999,1.0154459277788799,1.0040724575519562,3.443736433982849,5.591523170471191,0.1709106688698133,0.08173457284768422,1.0021722316741943
5.0,0.9223681599999999,1.0112821459770203,1.0008490482966106,3.6796356439590454,5.472666422526042,0.16934843609730402,0.0708759253223737,1.00151789188385
6.0,0.9039207967999999,1.009538342555364,1.000026007493337,3.881062706311544,5.333273967107137,0.16569355875253677,0.06051295685271422,1.0019161701202393
7.0,0.8858423808639999,1.0078354875246684,0.9991694490114847,4.027744293212891,5.164148012797038,0.15976950277884802,0.051449716091156006,1.0022732019424438
8.0,0.8681255332467199,1.0070058405399323,0.9990882873535156,4.143324057261149,4.959466377894084,0.15080501387516657,0.044006780410806336,1.0022178888320923
9.0,0.8507630225817855,1.0063357949256897,0.9989712238311768,4.225971380869548,4.734807014465332,0.13951447109381357,0.039251588905851044,1.001807451248169
10.0,0.8337477621301498,1.0054220457871754,0.9984113276004791,4.264844576517741,4.504113674163818,0.12783373271425566,0.03710176423192024,1.001307487487793
11.0,0.8170728068875467,1.0054266154766083,0.9986129601796468,4.2703986167907715,4.279720067977905,0.11644100894530614,0.036889677246411644,1.0009572505950928
12.0,0.8007313507497958,1.0050909419854481,0.9983793596426646,4.255485773086548,4.068610111872355,0.10659916326403618,0.03775638776520888,1.0007731914520264
13.0,0.7847167237347998,1.0048697491486867,0.9982131322224935,4.2308409214019775,3.887746572494507,0.09917503222823143,0.03891761414706707,1.0006864070892334
14.0,0.7690223892601038,1.0049769182999928,0.9983431299527487,4.201260964075725,3.7369516690572104,0.09389330198367436,0.04018449534972509,1.000583529472351
15.0,0.7536419414749017,1.0044205288092296,0.9978063702583313,4.165939728418986,3.628300348917643,0.09127971157431602,0.04107300564646721,1.0005152225494385
